City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,dawson creek,55.7666,-120.2362,1.8,60,0,5.66,CA,1674217276
265,antalaha,-14.9003,50.2788,26.67,79,97,0.51,MG,1674217276
266,saint joseph,39.7686,-94.8466,-1.92,88,100,4.12,US,1674217071
267,bayir,37.2687,28.2167,9.29,83,93,6.49,TR,1674217277
268,baillif,16.0202,-61.7463,25.91,74,13,4.97,GP,1674217277
269,dhidhdhoo,6.8833,73.1,26.74,65,51,2.88,MV,1674217278
270,pitimbu,-7.4706,-34.8086,28.33,65,15,4.13,BR,1674217278
271,jiazi,22.8779,116.067,16.06,74,69,8.62,CN,1674217278
272,west bay,19.3667,-81.4167,22.78,84,20,0.0,KY,1674217278
273,barbosa ferraz,-24.03,-52.0117,23.65,78,84,1.7,BR,1674217279
274,laguna,38.421,-121.4238,7.05,72,0,5.66,US,1674217279
275,chicama,-7.8447,-79.1469,17.3,72,98,1.17,PE,1674217279
276,bainbridge,47.6262,-122.5212,5.15,92,100,0.45,US,1674217279
277,puerto ayacucho,5.6639,-67.6236,22.82,74,96,3.25,VE,1674217280
278,vestmannaeyjar,63.4427,-20.2734,7.55,93,100,11.83,IS,1674217280
279,zlitan,32.4674,14.5687,15.27,27,0,6.57,LY,1674217280
280,lucapa,-8.4192,20.7447,20.71,89,100,2.23,AO,1674217281
281,morrope,-6.5417,-80.0111,21.06,70,100,2.84,PE,1674217282
282,ixtapa,20.7,-105.2,17.57,88,0,0.0,MX,1674217144
283,hirara,24.8,125.2833,18.21,68,100,9.4,JP,1674217219
284,bulawayo,-20.15,28.5833,29.22,33,100,3.49,ZW,1674217283
285,bubaque,11.2833,-15.8333,25.36,47,40,4.56,GW,1674217283
286,almaznyy,48.0448,40.045,1.06,68,98,7.58,RU,1674217284
287,los llanos de aridane,28.6585,-17.9182,17.86,75,75,4.63,ES,1674217284
288,zhuhai,22.2769,113.5678,18.25,67,20,2.06,CN,1674217277
289,matara,5.9485,80.5353,26.48,69,63,1.71,LK,1674217285
290,faanui,-16.4833,-151.75,26.9,76,14,7.29,PF,1674217285
291,geraldton,-28.7667,114.6,23.23,78,40,2.57,AU,1674217034
292,belaya gora,68.5333,146.4167,-40.63,100,95,1.51,RU,1674217285
293,provideniya,64.3833,-173.3,-29.71,94,13,2.69,RU,1674217286
294,bama,11.5221,13.6856,33.09,13,36,3.59,NG,1674217286
295,abaza,52.655,90.0928,-10.57,89,100,3.9,RU,1674217286
296,fare,-16.7,-151.0167,27.21,73,1,7.81,PF,1674217286
297,qidong,31.8128,121.6561,4.4,64,7,3.65,CN,1674217286
298,inhambane,-23.865,35.3833,33.99,55,20,3.09,MZ,1674217287
299,saskylakh,71.9167,114.0833,-39.3,100,91,1.52,RU,1674217287
300,pecos,31.4229,-103.4932,5.17,59,0,0.0,US,1674217288
301,richards bay,-28.783,32.0377,29.77,65,94,5.02,ZA,1674217288
302,xuzhou,34.1805,117.1571,2.21,38,100,2.08,CN,1674217288
303,codrington,-38.2667,141.9667,15.0,81,97,5.26,AU,1674217288
304,omboue,-1.5746,9.2618,28.81,68,100,2.88,GA,1674217024
305,marsa matruh,31.3525,27.2453,18.04,38,0,5.73,EG,1674217290
306,lerwick,60.1545,-1.1494,5.0,74,68,3.49,GB,1674217290
307,miandrivazo,-19.5167,45.4667,29.92,60,100,1.72,MG,1674217128
308,yatou,37.15,122.3833,-5.13,61,48,1.15,CN,1674217290
309,padang,-0.9492,100.3543,23.03,90,100,1.73,ID,1674217256
310,kiruna,67.8557,20.2251,-8.49,86,0,3.09,SE,1674217291
311,grindavik,63.8424,-22.4338,5.97,100,100,11.32,IS,1674217292
312,pahrump,36.2083,-115.9839,2.47,52,3,5.36,US,1674217292
313,kruisfontein,-34.0033,24.7314,28.27,43,0,6.38,ZA,1674217142
314,kutum,14.2,24.6667,28.21,10,9,1.2,SD,1674217293
315,lhokseumawe,5.1801,97.1507,25.83,84,72,2.72,ID,1674217153
316,hamilton,39.1834,-84.5333,2.55,72,100,9.26,US,1674217293
317,vila franca do campo,37.7167,-25.4333,13.23,74,100,3.11,PT,1674217294
318,betanzos,43.2804,-8.2147,13.94,82,75,2.57,ES,1674217294
319,yasnogorsk,54.4803,37.6975,1.73,81,100,7.44,RU,1674217211
320,didwana,27.4,74.5667,18.21,28,54,1.24,IN,1674217001
321,chadiza,-14.0678,32.4392,22.63,85,98,2.62,ZM,1674217295
322,churapcha,62.0025,132.4325,-47.3,98,92,0.88,RU,1674217295
323,pisco,-13.7,-76.2167,22.03,88,75,1.03,PE,1674217295
324,hagi,34.4,131.4167,2.97,60,43,5.46,JP,1674217295
325,gorin,51.1983,136.6669,-31.62,100,85,0.99,RU,1674217296
326,paraiso,9.8383,-83.8656,17.48,94,66,1.46,CR,1674217297
327,maykor,59.0059,55.88,-8.31,82,54,4.03,RU,1674217297
328,monywa,22.1167,95.1333,22.35,42,0,1.05,MM,1674217298
329,lesozavodsk,45.4794,133.4244,-27.05,95,79,0.86,RU,1674217298
330,jiwani,25.05,61.7417,21.29,30,0,5.66,PK,1674217298
331,srednekolymsk,67.45,153.6833,-36.85,99,100,1.98,RU,1674217298
332,karpathos,35.507,27.2132,18.98,59,20,5.66,GR,1674217299
333,teya,60.3778,92.6267,-45.45,100,42,1.28,RU,1674217299
334,saint-joseph,-21.3667,55.6167,29.21,82,100,2.6,RE,1674217300
335,samarai,-10.6167,150.6667,27.38,80,100,2.88,PG,1674217300
336,touros,-5.1989,-35.4608,28.39,67,65,5.0,BR,1674217301
337,goderich,43.7501,-81.7165,1.62,86,100,4.12,CA,1674217301
338,mokhsogollokh,61.4681,128.9203,-50.82,100,62,1.19,RU,1674217302
339,mitsamiouli,-11.3847,43.2844,27.74,79,88,5.37,KM,1674217303
340,buta,2.7858,24.73,38.93,16,100,0.99,CD,1674217304
341,ketchikan,55.3422,-131.6461,6.26,87,100,7.72,US,1674217304
342,kasangulu,-4.5911,15.1708,28.32,65,90,2.99,CD,1674217304
343,galle,6.0367,80.217,25.93,69,62,2.4,LK,1674217304
344,kuala kedah,6.1,100.3,25.99,83,40,1.54,MY,1674217014
345,henties bay,-22.116,14.2845,20.54,76,91,4.69,NA,1674217305
346,baijiantan,45.6333,85.1833,-20.3,97,90,1.95,CN,1674217307
347,kalulushi,-12.8378,28.0919,22.62,84,99,2.21,ZM,1674217307
348,klaksvik,62.2266,-6.589,2.51,67,99,8.35,FO,1674217308
349,nanortalik,60.1432,-45.2371,-7.3,77,65,7.87,GL,1674217309
350,mancio lima,-7.6142,-72.8958,22.04,100,100,1.54,BR,1674217309
351,trairi,-3.2778,-39.2689,28.39,66,89,3.29,BR,1674217309
352,portland,45.5234,-122.6762,3.8,94,100,0.0,US,1674217309
353,vao,-22.6667,167.4833,25.19,71,93,8.12,NC,1674217309
354,korla,41.7597,86.1469,-13.06,85,3,0.69,CN,1674217310
355,porbandar,21.6422,69.6093,24.18,36,5,5.33,IN,1674217310
356,saint-augustin,51.226,-58.6502,-7.66,79,100,4.68,CA,1674217310
357,pointe michel,15.25,-61.3833,26.16,73,32,8.09,DM,1674217310
358,prince rupert,54.3161,-130.3201,6.83,86,100,19.55,CA,1674217311
359,flinders,-34.5833,150.8552,17.99,76,48,0.97,AU,1674217235
360,college,64.8569,-147.8028,-21.03,78,100,0.0,US,1674217312
